code,name,city,country,timezone,lat,lng,terminal,gate
ADE,Aden Intl,Aden,Yemen,Asia/Aden,12.829542,45.028792,,
ADF,Adiyaman Airport,Adiyaman,Turkey,Europe/Istanbul,37.7314,38.4689,,
ITM,Osaka Intl,Osaka,Japan,Asia/Tokyo,34.785528,135.438222,,
REU,Reus,Reus,Spain,Europe/Madrid,41.147392,1.167172,,
REX,General Lucio Blanco Intl,Reynosa,Mexico,America/Monterrey,26.008908,-98.228513,,
ITO,Hilo Intl,Hilo,United States,Pacific/Honolulu,19.721375,-155.048469,,
ADJ,Marka Intl,Amman,Jordan,Asia/Amman,31.972703,35.991569,,
ADK,Adak Airport,Adak Island,United States,America/Adak,51.878,-176.646,,
ADL,Adelaide Intl,Adelaide,Australia,Australia/Adelaide,-34.945,138.530556,,
ADQ,Kodiak,Kodiak,United States,America/Anchorage,57.749967,-152.493856,,
ZVK,Savannakhet,Savannakhet,Laos,UTC,16.556594,104.759531,,
RFD,Chicago Rockford International Airport ,Rockford,United States,America/Chicago,42.1953611,-89.0972222,,
ADU,Ardabil Airport,Ardabil,Iran,Asia/Tehran,38.325678,48.424356,,
ADZ,Gustavo Rojas Pinilla,San Andres Island,Colombia,America/Bogota,12.583594,-81.711192,,
ZVR,,,,Europe/Berlin,0,0,,
IUE,Niue International Airport,Alofi,Niue,Pacific/Niue,-19.080028,-169.925639,,
RFP,Raiatea,Raiatea Island,French Polynesia,Pacific/Tahiti,-16.722861,-151.465856,,
AEH,Abeche,Abeche,Chad,Africa/Ndjamena,13.847,20.844333,,
AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,America/Argentina/Buenos_Aires,-34.559175,-58.415606,,
RGA,Rio Grande,Rio Grande,Argentina,America/Argentina/Ushuaia,-53.777667,-67.749389,,
AER,Sochi,Sochi,Russia,Europe/Moscow,43.449928,39.956589,,
AES,Vigra,Alesund,Norway,Europe/Oslo,62.560372,6.110164,,
AET,Allakaket Airport,Allakaket,United States,America/Anchorage,66.5519,-152.6222,,
AEY,Akureyri,Akureyri,Iceland,Atlantic/Reykjavik,65.659994,-18.072703,,
RGI,Rangiroa,Rangiroa,French Polynesia,Pacific/Tahiti,-14.954283,-147.6608,,
RGL,Rio Gallegos,Rio Gallegos,Argentina,America/Argentina/Rio_Gallegos,-51.608875,-69.312636,,
ZWS,Stuttgart Railway Station,Stuttgart,Germany,Europe/Berlin,48.783611,9.181667,,
RGN,Yangon Intl,Yangon,Burma,Asia/Rangoon,16.907305,96.133222,,
AFA,San Rafael,San Rafael,Argentina,America/Argentina/Mendoza,-34.588314,-68.403854,,
IVL,Ivalo,Ivalo,Finland,Europe/Helsinki,68.607269,27.405328,,
IVR,,,,UTC,0,0,,
AFW,Fort Worth Alliance Airport,Fort Worth,United States,America/Chicago,32.987778,-97.318889,,
RHI,Rhinelander Oneida County Airport,Rhinelander,United States,America/Menominee,45.6312,-89.4675,,
IWD,Gogebic Iron County Airport,Ironwood,United States,America/Menominee,46.5274747,-90.1313967,,
RHO,Rhodes Diagoras,Rhodos,Greece,Europe/Athens,36.405419,28.086192,,
AGA,Inezgane,Agadir,Morocco,Africa/Casablanca,30.381353,-9.546311,,
AGF,La Garenne,Agen,France,Europe/Paris,44.174721,0.590556,,
AGH,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,Europe/Stockholm,56.2961,12.8471,,
